"filename", "language", "HTML", "JavaScript", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\Om Bhanderi\OneDrive\Desktop\Internship\McLaw\WIM.html", "HTML", 250, 0, 0, 0, 0, 6, 256
"c:\Users\Om Bhanderi\OneDrive\Desktop\Internship\McLaw\assests\css\font.css", "PostCSS", 0, 0, 77, 0, 0, 8, 85
"c:\Users\Om Bhanderi\OneDrive\Desktop\Internship\McLaw\assests\css\main.css", "PostCSS", 0, 0, 3, 0, 0, 4, 7
"c:\Users\Om Bhanderi\OneDrive\Desktop\Internship\McLaw\assests\css\media.css", "PostCSS", 0, 0, 254, 0, 14, 58, 326
"c:\Users\Om Bhanderi\OneDrive\Desktop\Internship\McLaw\assests\css\style.css", "PostCSS", 0, 0, 1093, 0, 27, 160, 1280
"c:\Users\Om Bhanderi\OneDrive\Desktop\Internship\McLaw\assests\images\icons\Path 12155.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Om Bhanderi\OneDrive\Desktop\Internship\McLaw\assests\images\icons\White-arrow.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Om Bhanderi\OneDrive\Desktop\Internship\McLaw\assests\js\main.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Om Bhanderi\OneDrive\Desktop\Internship\McLaw\csOpen.html", "HTML", 60, 0, 0, 0, 0, 3, 63
"c:\Users\Om Bhanderi\OneDrive\Desktop\Internship\McLaw\index.html", "HTML", 272, 0, 0, 0, 0, 7, 279
"c:\Users\Om Bhanderi\OneDrive\Desktop\Internship\McLaw\process.html", "HTML", 301, 0, 0, 0, 0, 8, 309
"c:\Users\Om Bhanderi\OneDrive\Desktop\Internship\McLaw\resourceHub.html", "HTML", 185, 0, 0, 0, 0, 4, 189
"Total", "-", 1068, 0, 1427, 6, 41, 261, 2803